"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Rings:2                          search:ring_division:1                 ","Attribute","ring_division","n/a","search","Division of the ring","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Rings:2                          search:ring_feature:1                  ","Attribute","ring_feature","n/a","search","Feature of the ring","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Feature:1                       ","Class","Feature","1.0","search","Feature","drum","","","","","","","","","","",""
"search:Feature:2                        search:feature_name:1                  ","Attribute","feature_name","n/a","search","Name of the feature","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Feature:2                        search:feature_type:1                  ","Attribute","feature_type","n/a","search","Type of the feature","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:1           ","Class","Physical_Properties","1.0","search","Information about the physical properties of the object under study.","drum","","","","","","","","","","",""
"search:Physical_Properties:2            search:material_type:1                 ","Attribute","material_type","n/a","search","Material type of the object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:process_type:1                  ","Attribute","process_type","n/a","search","Type of process being studied.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:composition_type:1              ","Attribute","composition_type","n/a","search","Primary composition of the material being studied.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:1         ","Class","Environmental_Context","1.0","search","Information about the environmental conditions at the study location.","drum","","","","","","","","","","",""
"search:Environmental_Context:2          search:temperature_regime:1            ","Attribute","temperature_regime","n/a","search","Temperature conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:pressure_conditions:1           ","Attribute","pressure_conditions","n/a","search","Pressure conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:radiation_environment:1         ","Attribute","radiation_environment","n/a","search","Radiation conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:atmospheric_presence:1          ","Attribute","atmospheric_presence","n/a","search","Presence and nature of atmosphere at the study location.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:1               ","Class","Data_Collection","1.0","search","Information about how the data was collected and its format.","drum","","","","","","","","","","",""
"search:Data_Collection:2                search:collection_method:1             ","Attribute","collection_method","n/a","search","Method used to collect the data.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:instrument_type:1               ","Attribute","instrument_type","n/a","search","Type of instrument used to collect the data.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:data_category:1                 ","Attribute","data_category","n/a","search","General category of the collected data.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:data_format:1                   ","Attribute","data_format","n/a","search","Format of the collected data.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Temporal_Epoch:1                ","Class","Temporal_Epoch","1.0","search","The temporal epoch of the data collection.","drum","","","","","","","","","","",""
"search:Temporal_Epoch:2                 search:earth_geologic_epoch:1          ","Attribute","earth_geologic_epoch","n/a","search","Temporal epoch of the Earth","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Temporal_Epoch:2                 search:moon_geologic_epoch:1           ","Attribute","moon_geologic_epoch","n/a","search","Temporal epoch of the Moon","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Temporal_Epoch:2                 search:mars_geologic_epoch:1           ","Attribute","mars_geologic_epoch","n/a","search","Temporal epoch of Mars","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Temporal_Epoch:2                 search:vesta_geologic_epoch:1          ","Attribute","vesta_geologic_epoch","n/a","search","Relative timescale for Vesta","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
