"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Data_Collection:2                search:collection_method:2              Value:Laboratory","Value","Laboratory","","","Data collected in laboratory settings"
"search:Data_Collection:2                search:collection_method:2              Value:Lander","Value","Lander","","","Data collected by a surface lander"
"search:Data_Collection:2                search:collection_method:2              Value:Orbiter","Value","Orbiter","","","Data collected by an orbiting spacecraft"
"search:Data_Collection:2                search:collection_method:2              Value:Other","Value","Other","","","Any collection method not covered by other values"
"search:Data_Collection:2                search:collection_method:2              Value:Rover","Value","Rover","","","Data collected by a mobile surface rover"
"search:Data_Collection:2                search:collection_method:2              Value:Sample_Return","Value","Sample_Return","","","Analysis of returned physical samples"
"search:Data_Collection:2                search:collection_method:2              Value:Telescope","Value","Telescope","","","Data collected by Earth-based or space telescopes"
"search:Data_Collection:2                search:instrument_type:1               ","Attribute","instrument_type","n/a","search","Type of instrument used to collect the data.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:instrument_type:2                Value:Camera","Value","Camera","","","Imaging device"
"search:Data_Collection:2                search:instrument_type:2                Value:Lidar","Value","Lidar","","","Light detection and ranging instrument"
"search:Data_Collection:2                search:instrument_type:2                Value:Magnetometer","Value","Magnetometer","","","Instrument that measures magnetic fields"
"search:Data_Collection:2                search:instrument_type:2                Value:Other","Value","Other","","","Any instrument type not covered by other values"
"search:Data_Collection:2                search:instrument_type:2                Value:Radar","Value","Radar","","","Radio detection and ranging instrument"
"search:Data_Collection:2                search:instrument_type:2                Value:Seismometer","Value","Seismometer","","","Instrument that measures ground motion"
"search:Data_Collection:2                search:instrument_type:2                Value:Spectrometer","Value","Spectrometer","","","Instrument that measures spectra"
"search:Data_Collection:2                search:data_type:1                     ","Attribute","data_type","n/a","search","Format or type of the collected data.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:data_type:2                      Value:Image","Value","Image","","","Visual representation data"
"search:Data_Collection:2                search:data_type:2                      Value:Map","Value","Map","","","Spatial representation data"
"search:Data_Collection:2                search:data_type:2                      Value:Model_Output","Value","Model_Output","","","Results from computational models"
"search:Data_Collection:2                search:data_type:2                      Value:Other","Value","Other","","","Any data type not covered by other values"
"search:Data_Collection:2                search:data_type:2                      Value:Spectrum","Value","Spectrum","","","Spectral measurement data"
"search:Data_Collection:2                search:data_type:2                      Value:Time_Series","Value","Time_Series","","","Sequential data collected over time"
"search:Physical_Properties:1           ","Class","Physical_Properties","1.0.0.0","search","Information about the physical properties of the object under study.","drum","","","","","","","","","","",""
"search:Physical_Properties:2            search:material_type:1                 ","Attribute","material_type","n/a","search","Physical type of material being studied.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:material_type:2                  Value:Dust","Value","Dust","","","Fine particulate material"
"search:Physical_Properties:2            search:material_type:2                  Value:Gas","Value","Gas","","","Gaseous material"
"search:Physical_Properties:2            search:material_type:2                  Value:Ice","Value","Ice","","","Frozen water or other volatiles"
"search:Physical_Properties:2            search:material_type:2                  Value:Liquid","Value","Liquid","","","Liquid state material"
"search:Physical_Properties:2            search:material_type:2                  Value:Other","Value","Other","","","Any material type not covered by other values"
"search:Physical_Properties:2            search:material_type:2                  Value:Regolith","Value","Regolith","","","Surface layer of loose material"
"search:Physical_Properties:2            search:material_type:2                  Value:Rock","Value","Rock","","","Solid mineral material"
"search:Physical_Properties:2            search:feature_type:1                  ","Attribute","feature_type","n/a","search","Type of geological or physical feature being studied.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:feature_type:2                   Value:Cloud","Value","Cloud","","","Atmospheric cloud formation"
"search:Physical_Properties:2            search:feature_type:2                   Value:Crater","Value","Crater","","","Impact depression on a surface"
"search:Physical_Properties:2            search:feature_type:2                   Value:Mare","Value","Mare","","","Dark plains on the Moon"
"search:Physical_Properties:2            search:feature_type:2                   Value:Mountain","Value","Mountain","","","Elevated landform"
"search:Physical_Properties:2            search:feature_type:2                   Value:Other","Value","Other","","","Any feature type not covered by other values"
"search:Physical_Properties:2            search:feature_type:2                   Value:Valley","Value","Valley","","","Elongated depression"
"search:Physical_Properties:2            search:feature_type:2                   Value:Volcano","Value","Volcano","","","Volcanic landform"
