"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Scientific_Discipline:2          search:study_focus:2                    Value:Magnetosphere","Value","Magnetosphere","","","Study focused on magnetic field properties or interactions"
"search:Scientific_Discipline:2          search:study_focus:2                    Value:Orbital_Dynamics","Value","Orbital_Dynamics","","","Study focused on orbital properties or behaviors"
"search:Scientific_Discipline:2          search:study_focus:2                    Value:Other","Value","Other","","","Any focus not covered by other values"
"search:Scientific_Discipline:2          search:study_focus:2                    Value:Surface","Value","Surface","","","Study focused on surface features or properties"
"search:Data_Collection:1               ","Class","Data_Collection","1.0.0.0","search","Information about how the data was collected and its format.","drum","","","","","","","","","","",""
"search:Data_Collection:2                search:collection_method:1             ","Attribute","collection_method","n/a","search","Method used to collect the data.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:collection_method:2              Value:Laboratory","Value","Laboratory","","","Data collected in laboratory settings"
"search:Data_Collection:2                search:collection_method:2              Value:Lander","Value","Lander","","","Data collected by a surface lander"
"search:Data_Collection:2                search:collection_method:2              Value:Orbiter","Value","Orbiter","","","Data collected by an orbiting spacecraft"
"search:Data_Collection:2                search:collection_method:2              Value:Other","Value","Other","","","Any collection method not covered by other values"
"search:Data_Collection:2                search:collection_method:2              Value:Rover","Value","Rover","","","Data collected by a mobile surface rover"
"search:Data_Collection:2                search:collection_method:2              Value:Sample_Return","Value","Sample_Return","","","Analysis of returned physical samples"
"search:Data_Collection:2                search:collection_method:2              Value:Telescope","Value","Telescope","","","Data collected by Earth-based or space telescopes"
"search:Data_Collection:2                search:instrument_type:1               ","Attribute","instrument_type","n/a","search","Type of instrument used to collect the data.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:instrument_type:2                Value:Camera","Value","Camera","","","Imaging device"
"search:Data_Collection:2                search:instrument_type:2                Value:Lidar","Value","Lidar","","","Light detection and ranging instrument"
"search:Data_Collection:2                search:instrument_type:2                Value:Magnetometer","Value","Magnetometer","","","Instrument that measures magnetic fields"
"search:Data_Collection:2                search:instrument_type:2                Value:Other","Value","Other","","","Any instrument type not covered by other values"
"search:Data_Collection:2                search:instrument_type:2                Value:Radar","Value","Radar","","","Radio detection and ranging instrument"
"search:Data_Collection:2                search:instrument_type:2                Value:Seismometer","Value","Seismometer","","","Instrument that measures ground motion"
"search:Data_Collection:2                search:instrument_type:2                Value:Spectrometer","Value","Spectrometer","","","Instrument that measures spectra"
"search:Data_Collection:2                search:data_category:1                 ","Attribute","data_category","n/a","search","General category of the collected data.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:data_category:2                  Value:Altimetry","Value","Altimetry","","","Elevation data"
"search:Data_Collection:2                search:data_category:2                  Value:Database","Value","Database","","","Flat rendering of existing data base"
"search:Data_Collection:2                search:data_category:2                  Value:Image","Value","Image","","","Visual representation data"
"search:Data_Collection:2                search:data_category:2                  Value:Map","Value","Map","","","Spatial representation data"
"search:Data_Collection:2                search:data_category:2                  Value:Model_Output","Value","Model_Output","","","Results from computational models"
"search:Data_Collection:2                search:data_category:2                  Value:Other","Value","Other","","","Any data type not covered by other values"
"search:Data_Collection:2                search:data_category:2                  Value:Parameter_Data","Value","Parameter_Data","","","Numerical data"
"search:Data_Collection:2                search:data_category:2                  Value:Photometry","Value","Photometry","","","Photometric measurement data"
"search:Data_Collection:2                search:data_format:1                   ","Attribute","data_format","n/a","search","Format of the collected data.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:data_format:2                    Value:Crater","Value","Crater","","","A list of craters on the object"
"search:Data_Collection:2                search:data_format:2                    Value:Crater_Type","Value","Crater_Type","","","A list of irregular crater types on the object"
"search:Data_Collection:2                search:data_format:2                    Value:Gazetteer","Value","Gazetteer","","","A list of feature names"
"search:Data_Collection:2                search:data_format:2                    Value:Geologic_Map","Value","Geologic_Map","","","A map of the geologic features of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Gravity_Map","Value","Gravity_Map","","","A map of the gravity of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Light_Curve","Value","Light_Curve","","","A list of light curves on the object"
"search:Data_Collection:2                search:data_format:2                    Value:Mosaic","Value","Mosaic","","","A composite image of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Photometric_Properti","Value","Photometric_Properties","","","A list of photometric properties of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Physical_Properties","Value","Physical_Properties","","","A list of physical properties of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Shape_Model_DTM","Value","Shape_Model_DTM","","","A 3D model of the surface of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Spectral","Value","Spectral","","","A list of spectra on the object"
"search:Data_Collection:2                search:data_format:2                    Value:Spectral_Map","Value","Spectral_Map","","","A map of the spectral properties of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Taxonomies","Value","Taxonomies","","","A list of taxonomies of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Thermal_Map","Value","Thermal_Map","","","A map of the thermal properties of the object"
"search:Data_Collection:2                search:data_format:2                    Value:Time_Series","Value","Time_Series","","","Sequential data collected over time"
"search:Data_Collection:2                search:temporal_epoch:1                ","Attribute","temporal_epoch","n/a","search","The temporal epoch of the data collection.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Amazonian","Value","Amazonian","","","Mars's Amazonian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Archean","Value","Archean","","","Earth's earliest known epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Azaccan","Value","Azaccan","","","Ceres's Azaccan Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Copernican","Value","Copernican","","","Moon's Eratosthenian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Eratosthenian","Value","Eratosthenian","","","Moon's Imbrian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Hesperian","Value","Hesperian","","","Mars's Hesperian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Imbrian","Value","Imbrian","","","Moon's Nectarian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Kerwanan","Value","Kerwanan","","","Ceres's Kerwanan Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Nectarian","Value","Nectarian","","","Moon's Pre-Nactarian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Noachian","Value","Noachian","","","Mars's Noachian Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Other","Value","Other","","","Any temporal epoch not covered by other values"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Paleozoic","Value","Paleozoic","","","Earth's Paleozoic Era"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Pre-Kerwanan","Value","Pre-Kerwanan","","","Ceres's Pre-Kerwanan Epoch"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Proterozoic","Value","Proterozoic","","","Earth's Proterozoic Eon"
"search:Data_Collection:2                search:temporal_epoch:2                 Value:Yalodean","Value","Yalodean","","","Ceres's Yalodean Epoch"
"search:Target_Object:1                 ","Class","Target_Object","1.0.0.0","search","Information about the target of observation, whether it is a celestial body, feature, or other object.","drum","","","","","","","","","","",""
"search:Target_Object:2                  search:object_name:1                   ","Attribute","object_name","n/a","search","Specific name of the celestial body (whether it is the target of observation or not)","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:parent_body:1                   ","Attribute","parent_body","n/a","search","For moons/satellites, specifies the parent planet or body.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:scope:1                         ","Attribute","scope","n/a","search","The scope of the data collection.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:scope:2                          Value:Global","Value","Global","","","Data collected from the entire object"
"search:Target_Object:2                  search:scope:2                          Value:Local","Value","Local","","","Data collected from a small location on the object"
"search:Target_Object:2                  search:scope:2                          Value:Other","Value","Other","","","Any scope not covered by other values"
"search:Target_Object:2                  search:scope:2                          Value:Regional","Value","Regional","","","Data collected from a large region of the object"
"search:Body_Type:1                     ","Class","Body_Type","1.0.0.0","search","Classification of the celestial body.","drum","","","","","","","","","","",""
"search:Body_Type:2                      search:asteroid_type:1                 ","Attribute","asteroid_type","n/a","search","Type of asteroid.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:asteroid_type:2                  Value:Active","Value","Active","","","Asteroids that show comet-like activity"
"search:Body_Type:2                      search:asteroid_type:2                  Value:Main_Belt","Value","Main_Belt","","","Asteroids in the main asteroid belt"
"search:Body_Type:2                      search:asteroid_type:2                  Value:Near_Earth","Value","Near_Earth","","","Asteroids with orbits that bring them close to Earth"
"search:Body_Type:2                      search:asteroid_type:2                  Value:Other","Value","Other","","","Any asteroid type not covered by other values"
"search:Body_Type:2                      search:asteroid_type:2                  Value:Trojan","Value","Trojan","","","Asteroids that share an orbit with a planet"
"search:Body_Type:2                      search:tno_type:1                      ","Attribute","tno_type","n/a","search","Type of trans-Neptunian object.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:tno_type:2                       Value:Classical","Value","Classical","","","Objects in the classical Kuiper belt"
"search:Body_Type:2                      search:tno_type:2                       Value:Detached","Value","Detached","","","Objects with orbits not strongly influenced by Neptune"
"search:Body_Type:2                      search:tno_type:2                       Value:Other","Value","Other","","","Any TNO type not covered by other values"
"search:Body_Type:2                      search:tno_type:2                       Value:Resonant","Value","Resonant","","","Objects in orbital resonance with Neptune"
"search:Body_Type:2                      search:tno_type:2                       Value:Scattered","Value","Scattered","","","Objects scattered by Neptune"
"search:Body_Type:2                      search:centaur_type:1                  ","Attribute","centaur_type","n/a","search","Type of centaur object.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:centaur_type:2                   Value:Active","Value","Active","","","Centaurs showing comet-like activity"
"search:Body_Type:2                      search:centaur_type:2                   Value:Inactive","Value","Inactive","","","Centaurs without comet-like activity"
"search:Body_Type:2                      search:centaur_type:2                   Value:Other","Value","Other","","","Any centaur type not covered by other values"
"search:Body_Type:2                      search:kbo_type:1                      ","Attribute","kbo_type","n/a","search","Type of Kuiper belt object.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:kbo_type:2                       Value:Classical","Value","Classical","","","Objects in the classical Kuiper belt"
"search:Body_Type:2                      search:kbo_type:2                       Value:Other","Value","Other","","","Any KBO type not covered by other values"
"search:Body_Type:2                      search:kbo_type:2                       Value:Resonant","Value","Resonant","","","Objects in orbital resonance with Neptune"
"search:Body_Type:2                      search:kbo_type:2                       Value:Scattered","Value","Scattered","","","Objects scattered by Neptune"
"search:Body_Type:2                      search:oort_cloud_type:1               ","Attribute","oort_cloud_type","n/a","search","Type of Oort cloud object.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:oort_cloud_type:2                Value:Inner","Value","Inner","","","Objects in the inner Oort cloud"
"search:Body_Type:2                      search:oort_cloud_type:2                Value:Other","Value","Other","","","Any Oort cloud object type not covered by other values"
"search:Body_Type:2                      search:oort_cloud_type:2                Value:Outer","Value","Outer","","","Objects in the outer Oort cloud"
"search:Body_Type:2                      search:comet_type:1                    ","Attribute","comet_type","n/a","search","Type of comet.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:comet_type:2                     Value:Halley_Type","Value","Halley_Type","","","Comets with intermediate orbital periods"
"search:Body_Type:2                      search:comet_type:2                     Value:Jupiter_Family","Value","Jupiter_Family","","","Comets with short orbital periods"
"search:Body_Type:2                      search:comet_type:2                     Value:Long_Period","Value","Long_Period","","","Comets with long orbital periods"
"search:Body_Type:2                      search:comet_type:2                     Value:Other","Value","Other","","","Any comet type not covered by other values"
"search:Body_Type:2                      search:comet_type:2                     Value:Single_Pass","Value","Single_Pass","","","Comets that pass through the solar system once"
"search:Body_Type:2                      search:satellite_type:1                ","Attribute","satellite_type","n/a","search","Type of natural satellite.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:satellite_type:2                 Value:Captured","Value","Captured","","","Satellites captured by a planet"
"search:Body_Type:2                      search:satellite_type:2                 Value:Galilean","Value","Galilean","","","The four largest moons of Jupiter"
"search:Body_Type:2                      search:satellite_type:2                 Value:Icy","Value","Icy","","","Satellites with significant ice content"
"search:Body_Type:2                      search:satellite_type:2                 Value:Irregular","Value","Irregular","","","Satellites with irregular orbits"
"search:Body_Type:2                      search:satellite_type:2                 Value:Other","Value","Other","","","Any satellite type not covered by other values"
"search:Body_Type:2                      search:satellite_type:2                 Value:Shepherding","Value","Shepherding","","","Satellites that maintain ring structure"
"search:Body_Type:2                      search:planet_type:1                   ","Attribute","planet_type","n/a","search","Type of planet.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:planet_type:2                    Value:Gas_Giant","Value","Gas_Giant","","","Large planets composed mainly of gas"
"search:Body_Type:2                      search:planet_type:2                    Value:Interior","Value","Interior","","","Planets closer to the Sun than Earth"
"search:Body_Type:2                      search:planet_type:2                    Value:Other","Value","Other","","","Any planet type not covered by other values"
"search:Body_Type:2                      search:planet_type:2                    Value:Terrestrial","Value","Terrestrial","","","Rocky planets similar to Earth"
"search:Body_Type:2                      search:feature_type:1                  ","Attribute","feature_type","n/a","search","Type of geological or physical feature being studied.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:feature_type:2                   Value:Cloud","Value","Cloud","","","Atmospheric cloud formation"
"search:Body_Type:2                      search:feature_type:2                   Value:Crater","Value","Crater","","","Impact depression on a surface"
"search:Body_Type:2                      search:feature_type:2                   Value:Mare","Value","Mare","","","Dark plains on the Moon"
"search:Body_Type:2                      search:feature_type:2                   Value:Mountain","Value","Mountain","","","Elevated landform"
"search:Body_Type:2                      search:feature_type:2                   Value:Other","Value","Other","","","Any feature type not covered by other values"
"search:Body_Type:2                      search:feature_type:2                   Value:Valley","Value","Valley","","","Elongated depression"
"search:Body_Type:2                      search:feature_type:2                   Value:Volcano","Value","Volcano","","","Volcanic landform"
"search:Body_Type:2                      search:atmospheric_layer:1             ","Attribute","atmospheric_layer","n/a","search","Layer of the atmosphere.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:atmospheric_layer:2              Value:Exosphere","Value","Exosphere","","","Outermost layer of the atmosphere"
"search:Body_Type:2                      search:atmospheric_layer:2              Value:Ionosphere","Value","Ionosphere","","","Layer containing ions"
"search:Body_Type:2                      search:atmospheric_layer:2              Value:Other","Value","Other","","","Any atmospheric layer not covered by other values"
"search:Body_Type:2                      search:atmospheric_layer:2              Value:Stratosphere","Value","Stratosphere","","","Layer above the troposphere"
"search:Body_Type:2                      search:atmospheric_layer:2              Value:Troposphere","Value","Troposphere","","","Lowest layer of the atmosphere"
"search:Body_Type:2                      search:field_type:1                    ","Attribute","field_type","n/a","search","Type of field or radiation.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:field_type:2                     Value:Cosmic_Ray","Value","Cosmic_Ray","","","Cosmic radiation"
"search:Body_Type:2                      search:field_type:2                     Value:Electromagnetic_Wave","Value","Electromagnetic_Wave","","","Electromagnetic waves"
"search:Body_Type:2                      search:field_type:2                     Value:Gamma_Ray","Value","Gamma_Ray","","","Gamma radiation"
"search:Body_Type:2                      search:field_type:2                     Value:Other","Value","Other","","","Any field type not covered by other values"
"search:Body_Type:2                      search:field_type:2                     Value:Particle","Value","Particle","","","Field of particles"
"search:Body_Type:2                      search:field_type:2                     Value:X_Ray","Value","X_Ray","","","X-ray radiation"
"search:Body_Type:2                      search:dust_type:1                     ","Attribute","dust_type","n/a","search","Type of dust or meteoroid.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:dust_type:2                      Value:Interplanetary_Dust","Value","Interplanetary_Dust","","","Dust particles in interplanetary space"
"search:Body_Type:2                      search:dust_type:2                      Value:Meteoroid","Value","Meteoroid","","","Small rocky or metallic body"
"search:Body_Type:2                      search:dust_type:2                      Value:Other","Value","Other","","","Any dust type not covered by other values"
"search:Body_Type:2                      search:ring_section:1                  ","Attribute","ring_section","n/a","search","Section of a planetary ring.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:ring_section:2                   Value:A_Ring","Value","A_Ring","","","Second outermost ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:B_Ring","Value","B_Ring","","","Middle ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:C_Ring","Value","C_Ring","","","Second innermost ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:D_Ring","Value","D_Ring","","","Innermost ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:E_Ring","Value","E_Ring","","","Outermost ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:F_Ring","Value","F_Ring","","","Outer ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:G_Ring","Value","G_Ring","","","Second outermost ring section"
"search:Body_Type:2                      search:ring_section:2                   Value:Other","Value","Other","","","Any ring section not covered by other values"
"search:Body_Type:2                      search:ring_division:1                 ","Attribute","ring_division","n/a","search","Division between ring sections.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:ring_division:2                  Value:Cassini_Division","Value","Cassini_Division","","","Division between A and B rings"
"search:Body_Type:2                      search:ring_division:2                  Value:Encke_Division","Value","Encke_Division","","","Division in the A ring"
